Threshold,Accuracy,Precision,Recall,F1 Score
60,0.9997670471563114,0.9997670471563114,1.0,0.9998835100098185
70,0.999079281617802,0.999079281617802,1.0,0.999539428780707
80,0.9956404539252555,0.9956404539252555,1.0,0.9978154651725115
90,0.9852463198997193,0.9852463198997193,1.0,0.9925683377662546
100,0.9626942660321475,0.9626942660321475,1.0,0.9809925903318243
110,0.914184609582127,0.9145460397083467,0.9995633346675885,0.9551666183714865
120,0.8230334897445284,0.8271345786670538,0.993682092555332,0.90279140337942
130,0.6154503200328353,0.699567764317807,0.7842455927826836,0.7394904937251071
140,0.46526229380900086,0.21825396825396826,0.006968935442316221,0.013506599815819094
150,0.6615527970980731,1.0,0.0,0.0
160,0.8152794879474636,1.0,0.0,0.0
170,0.9222159361931068,1.0,0.0,0.0
180,0.9781024326932677,1.0,0.0,0.0
190,0.9933885764362652,1.0,0.0,0.0
