Actual_Heart_Rate,Predicted_Heart_Rate
120.0,135.56
132.0,133.03
143.0,133.79
141.0,131.7
146.0,131.22
152.0,132.65
153.0,133.03
134.0,132.37
143.0,130.92
163.0,134.31
142.0,133.06
166.0,134.37
157.0,136.12
143.0,128.81
160.0,130.02
144.0,132.68
163.0,134.83
150.0,131.01
167.0,135.67
151.0,133.23
147.0,130.6
155.0,130.19
161.0,134.87
139.0,130.26
150.0,133.25
152.0,132.53
141.0,132.13
144.0,130.07
153.0,131.78
146.0,130.14
164.0,132.86
160.0,129.5
160.0,132.11
152.0,130.79
151.0,129.89
155.0,128.31
146.0,126.49
157.0,129.71
157.0,131.35
168.0,132.56
156.0,129.24
165.0,130.98
152.0,131.34
165.0,133.71
155.0,132.35
148.0,129.71
143.0,129.69
152.0,127.04
155.0,130.71
159.0,131.66
163.0,133.2
150.0,130.74
139.0,125.85
157.0,132.16
153.0,130.6
156.0,132.66
144.0,128.82
138.0,127.36
164.0,132.21
155.0,126.9
150.0,126.95
164.0,132.27
155.0,129.28
148.0,126.3
151.0,131.79
174.0,126.53
154.0,127.23
169.0,128.4
168.0,130.62
150.0,127.07
148.0,124.82
163.0,128.75
171.0,132.71
156.0,123.72
154.0,128.56
158.0,129.92
161.0,125.86
163.0,129.54
161.0,132.32
150.0,131.55
138.0,125.04
148.0,127.04
137.0,128.72
147.0,128.5
157.0,130.41
173.0,132.92
154.0,132.09
153.0,128.8
144.0,129.75
139.0,128.81
168.0,124.88
151.0,126.2
166.0,121.8
162.0,126.71
152.0,130.54
166.0,129.47
143.0,129.26
152.0,127.62
140.0,129.03
151.0,132.09
108.0,137.81
134.0,128.73
142.0,132.5
133.0,132.96
133.0,133.24
134.0,132.92
137.0,131.11
148.0,130.71
145.0,131.24
146.0,133.39
138.0,132.1
156.0,133.87
148.0,131.15
141.0,130.33
144.0,130.12
145.0,133.19
156.0,135.94
143.0,135.08
143.0,133.1
157.0,133.74
152.0,130.84
144.0,130.05
139.0,132.59
124.0,131.04
146.0,133.1
154.0,134.32
133.0,128.44
148.0,130.94
142.0,131.3
152.0,131.49
150.0,130.68
147.0,134.77
144.0,132.91
159.0,131.89
160.0,132.19
163.0,133.53
156.0,132.95
157.0,128.89
150.0,125.66
144.0,125.15
162.0,130.73
161.0,131.58
171.0,132.72
157.0,131.68
155.0,133.46
147.0,133.88
149.0,128.46
156.0,130.75
169.0,135.08
170.0,135.35
167.0,135.86
150.0,131.14
136.0,124.04
133.0,130.93
127.0,129.31
146.0,130.57
159.0,128.9
158.0,132.99
157.0,131.93
153.0,128.82
162.0,132.82
160.0,132.47
165.0,133.18
161.0,131.58
