Threshold,Accuracy,Precision,Recall,F1 Score
60,1.0,1.0,1.0,1.0
65,0.9992325402916347,0.9992325402916347,1.0,0.999616122840691
70,0.9992325402916347,0.9992325402916347,1.0,0.999616122840691
75,0.9953952417498081,0.9953952417498081,1.0,0.9976923076923077
80,0.9938603223330775,0.9938603223330775,1.0,0.9969207082371054
85,0.9823484267075978,0.9823484267075978,1.0,0.9910956252419667
90,0.9700690713737529,0.9700690713737529,1.0,0.9848071679002727
95,0.9485801995395242,0.9485801995395242,1.0,0.9736116581331232
100,0.9033000767459708,0.9033000767459708,1.0,0.9491935483870968
105,0.8480429777436684,0.8480429777436684,1.0,0.9177740863787376
110,0.7797390636991558,0.7797390636991558,1.0,0.876239758516602
115,0.7198772064466615,0.7198772064466615,1.0,0.8371262829094155
120,0.6577129700690714,0.6577129700690714,1.0,0.7935185185185185
125,0.5917114351496546,0.5917114351496546,1.0,0.7434908389585342
130,0.5303146584804298,0.5303146584804298,1.0,0.6930792377131394
135,0.5502686108979279,1.0,0.0,0.0
