Actual_Heart_Rate,Predicted_Heart_Rate
153.0,130.89143
128.0,130.89143
113.0,130.89143
109.0,130.89143
134.0,130.89143
128.0,130.89143
135.0,130.89143
125.0,130.89143
118.0,130.89143
129.0,130.89143
140.0,130.89143
145.0,130.89143
120.0,130.89143
136.0,130.89143
156.0,130.89143
115.0,130.89143
163.0,130.89143
145.0,130.89143
175.0,130.89143
150.0,130.89143
151.0,130.89143
98.0,130.89143
96.0,130.89143
96.0,130.89143
109.0,130.89143
95.0,130.89143
144.0,130.89143
154.0,130.89143
83.0,130.89143
100.0,130.89143
86.0,130.89143
134.0,130.89143
137.0,130.89143
156.0,130.89143
140.0,130.89143
139.0,130.89143
119.0,130.89143
107.0,130.89143
177.0,130.89143
122.0,130.89143
141.0,130.89143
101.0,130.89143
144.0,130.89143
82.0,130.89143
126.0,130.89143
164.0,130.89143
148.0,130.89143
116.0,130.89143
104.0,130.89143
92.0,130.89143
105.0,130.89143
145.0,130.89143
124.0,130.89143
130.0,130.89143
131.0,130.89143
148.0,130.89143
176.0,130.89143
173.0,130.89143
146.0,130.89143
122.0,130.89143
124.0,130.89143
151.0,130.89143
146.0,130.89143
165.0,130.89143
145.0,130.89143
153.0,130.89143
138.0,130.89143
133.0,130.89143
136.0,130.89143
155.0,130.89143
126.0,130.89143
141.0,130.89143
135.0,130.89143
131.0,130.89143
92.0,130.89143
176.0,130.89143
143.0,130.89143
135.0,130.89143
161.0,130.89143
100.0,130.89143
101.0,130.89143
127.0,130.89143
139.0,130.89143
144.0,130.89143
140.0,130.89143
118.0,130.89143
126.0,130.89143
142.0,130.89143
94.0,130.89143
169.0,130.89143
96.0,130.89143
163.0,130.89143
118.0,130.89143
120.0,130.89143
97.0,130.89143
149.0,130.89143
141.0,130.89143
172.0,130.89143
83.0,130.89143
127.0,130.89143
110.0,130.89143
101.0,130.89143
123.0,130.89143
121.0,130.89143
130.0,130.89143
162.0,130.89143
127.0,130.89143
132.0,130.89143
141.0,130.89143
140.0,130.89143
161.0,130.89143
144.0,130.89143
162.0,130.89143
135.0,130.89143
153.0,130.89143
144.0,130.89143
141.0,130.89143
153.0,130.89143
140.0,130.89143
161.0,130.89143
134.0,130.89143
117.0,130.89143
119.0,130.89143
149.0,130.89143
120.0,130.89143
88.0,130.89143
134.0,130.89143
144.0,130.89143
153.0,130.89143
132.0,130.89143
102.0,130.89143
88.0,130.89143
104.0,130.89143
132.0,130.89143
124.0,130.89143
125.0,130.89143
151.0,130.89143
111.0,130.89143
130.0,130.89143
110.0,130.89143
96.0,130.89143
109.0,130.89143
105.0,130.89143
116.0,130.89143
118.0,130.89143
98.0,130.89143
152.0,130.89143
112.0,130.89143
161.0,130.89143
159.0,130.89143
177.0,130.89143
124.0,130.89143
162.0,130.89143
152.0,130.89143
141.0,130.89143
122.0,130.89143
